title,creation_date,medium,accession_number,credit_line,date_acquired,department,physical_location,item_width,item_height,item_depth,item_diameter,provenance_text,classification,party_type,cited_name,role,nationality,birth_date,death_date,birth_place,death_place
Fragment of Hesiod,1955,bronze,58.48,Patrons Art Fund,12/17/58,Fine Arts,"Gallery 9, Scaife Galleries",18.5,10.25,8.25,0,"Galerie Maeght, Paris, France; M. Knoedler & Company, Inc., New York, NY, November 22, 1955 until January 1959 [1]; purchased by Department of Fine Arts, Carnegie Institute, Pittsburgh, PA, December 1958 [2].

Notes:
[1]. This sculpture was Knoedler stock number A-6204, entry of November 22, 1955 (Stock Book 10, Knoedler Archives, GRI.) This sculpture (1/6) was one of a group of 29 Braque bronzes from Galerie Maeght recorded in the Knoedler books at the same time. The sculpture was exhibited (no. 54, illustrated in catalogue, plate 3) in ""The 1958 Pittsburgh Bicentennial International Exhibition of Contemporary Painting and Sculpture"" held at Carnegie Institute, December 1958 - February 1959. It was lent by M. Knoedler and Company.
[2]. The sculpture was purchased by Carnegie Institute from the International. It was accessioned on December 17, 1958. Payment to Knoedler was sent on January 13, 1959; the sale was recorded in the Knoedler books on January 16, 1959.",sculpture,Person,"Braque, Georges",,French,1882-01-01,1/1/63," Argenteuil (Val-d'Oise, Île-de-France, France)"," Paris (Ville de Paris department, Île-de-France, France)"
Slave Market,  1850-1860,oil on canvas,58.4,Gift of Mrs. W. Fitch Ingersoll,4/8/58,Fine Arts,"Gallery 3, Scaife Galleries",39.5,29.75,3.25,0,"J. J. Gillespie Company, Pittsburgh, PA; Mrs. John Barclay, Jr. [1902-1987], Pittsburgh, by 1957 [1]; gift to Museum, 1958. 
NOTES:1. Josephine Eicher, later Mrs. Winchester Fitch Ingersoll",paintings,Person,unknown American,,American,,,,
United States Treasury,  1862-1863,oil on canvas,58.56.1,"Patrons Art Fund: gift of Mr. and Mrs. John F. Walton, Jr",11/21/58,Fine Arts,"Gallery 3, Scaife Galleries",18,16,2.5,0,"Captain Charles W. Batchelor [1823-1896], Pittsburgh, by 1879; Captain Lawrence, Port Washington, NY, by 1950; Hirschl and Adler Galleries and Newhouse Galleries, New York, 1950; Private collection, after 1950 until 1958; Hirschl and Adler Galleries, New York, by 1958; purchased by Department of Fine Arts, Carnegie Museum, Pittsburgh, PA, 1958.",paintings,Person,"Blythe, David G.",,American,1815-01-01,1865-01-01,"East Liverpool (Columbiana county, Ohio, United States)","Pittsburgh, Pennsylvania"
Abraham Lincoln Writing the Emancipation Proclamation,1863,oil on canvas,58.56.2,"Patrons Art Fund: gift of Mr. and Mrs. John F. Walton, Jr",11/21/58,Fine Arts,"Gallery 3, Scaife Galleries",27,21.75,2.75,0,"Captain Charles W. Batchelor [1823-1896], Pittsburgh, by 1879; Captain Lawrence, Port Washington, NY, by 1950. Hirschl and Adler Galleries and Newhouse Galleries, New York, 1950; Private collection, after 1950 until 1958; Hirschl and Adler Galleries, New York, by 1958; purchased by Department of Fine Arts, Carnegie Institute, Pittsburgh, PA, 1958.",paintings,Person,"Blythe, David G.",,American,1815-01-01,1865-01-01,"East Liverpool (Columbiana county, Ohio, United States)","Pittsburgh, Pennsylvania"
Aubade,1957,oil on canvas,58.7,Richard Mace Feldman Memorial Fund,11/21/58,Contemporary Art,"Gallery 12, Scaife Galleries",80,80,1.25,0,"Ellsworth Kelly [1923-2015], New York, NY; Betty Parsons Gallery, New York, NY, until February 1959 [1]; purchased by Department of Fine Arts, Carnegie Institute, Pittsburgh, PA, November 1958 [2].

Notes:
[1]. The painting was exhibited (no. 238, illustrated in the catalogue, plate 140) in ""The 1958 Pittsburgh Bicentennial International Exhibition of Contemporary Painting and Sculpture"" held at Carnegie Institute, December 1958 - February 1959. It was lent by Betty Parsons Gallery. See also note [2] below.
[2]. Carnegie Institute purchased the painting from the International with funds donated by friends in memory of Richard Mace Feldman. It was accessioned on November 21, 1958. Payment to Betty Parsons Gallery was sent on February 6, 1959.",paintings,Person,"Kelly, Ellsworth",,American,5/31/23,12/27/15,"Newburgh (Orange county, New York state, United States)","Spencertown, New York"
Figure Before a Field,1957,oil on canvas,58.78,Living Arts Foundation Fund,11/21/58,Contemporary Art,Off-site,72,96,0,0,"Jerrold Davis [b. 1926], Berkeley, CA [1]; purchased from the artist by Department of Fine Arts, Carnegie Institute, Pittsburgh, PA, November 1958 [2].

Notes:
[1]. The painting was exhibited (no. 121, illustrated in catalogue, plate 82) in ""The 1958 Pittsburgh Bicentennial International Exhibition of Contemporary Painting and Sculpture"" held at Carnegie Institute, December 1958 - February 1959. 
[2]. The painting was purchased by Carnegie Institute from the International. It was accessioned on November 21, 1958.",paintings,Person,"Davis, Jerrold",,American,1/1/26,,"Chico (Butte county, California, United States)",
"Cliffs, Dunes, and Sea",1908,oil on canvas,58.8.2,"Gift of Willis McCook Miller, Harry J. Miller, Jr., and William J. Miller",4/8/58,Fine Arts,Carnegie Music Hall and Foyer,25,20,0,0,"Harry J. Miller, Pittsburgh; gift to Museum, 1958.",paintings,Person,"Woodwell, Joseph R.",,American,1842-01-01,1/1/11,"Pittsburgh (Allegheny county, Pennsylvania, United States)","Pittsburgh (Allegheny county, Pennsylvania, United States)"
Scene from the Scottish Highlands,  1927,oil on canvas,59.11.1,Gift of G. David Thompson,3/25/59,Fine Arts,"Gallery 11, Scaife Galleries",27.125,23.25,2,0,"John Kane [1860-1934], Pittsburgh, PA, until 1927 [1]; Andrew Dasburg [1887-1979], Taos, NM, 1927 until at least 1938 [2]; with Maynard Walker Galleries, New York, NY, 1930s [3]; Mrs. George Monroe (Madeline Buckner) Moffett [c. 1887-1945], Queenstown, MD, 1930s [4]; by descent to her son George M. Moffett, Jr. [born c. 1921], New York, NY [5]; Maynard Walker Gallery, New York, NY, c.1952-1953 [6]; G. David Thompson [1899-1965], Pittsburgh, PA, c.1952-1953 until March 1959 [7]; his gift to Department of Fine Arts, Carnegie Institute, Pittsburgh, PA, March 1959.

Notes:
[1]. The painting was exhibited at the ""Twenty-sixth Annual International Exhibition of Paintings"", Carnegie Institute, October-December 1927 (no. 120; see photo in Carnegie International photo archive.)
[2] Purchased from the Carnegie International for $50. See copies of relevant digitized documents from Archives of American Art in curatorial file. See also original letter from the artist to Mr. Dasburg, dated January 3, 1928 in curatorial file. Mr. Dasburg is listed as the lender (courtesy of the Walker Galleries, New York) in MoMa's exhibition ""Masters of Popular Painting: Modern Primitives of Europe and America,"" April-July 1938.
[3]. Maynard Walker Gallery acted as agent for Mr. Dasburg. See letter from Maynard Walker to Leon Arkus, dated June 11, 1973 in curatorial file.  
[4]. Mrs. Moffett purchased the painting from Maynard Walker for $1250; see Mr. Walker's letter referenced in [3] above.
[5]. According to Mr. Walker's letter referenced in [3] above.
[6]. Maynard Walker Gallery acted as agent for Mr. Moffett.
[7]. Maynard Walker gives details of Mr. Thompson's purchase of the painting in the letter reference in [3] above. See also ""American Paintings and Sculpture to 1945 in the Carnegie Museum of Art,"" pages 282-283.",paintings,Person,"Kane, John",,American,1860-01-01,1/1/34,"West Calder (West Lothian, Scotland, United Kingdom)","Pittsburgh, Pennsylvania"
Reclining Figure,1957,bronze,59.12,"Gift of Mr. and Mrs. G. David Thompson, in memory of David",3/25/59,Contemporary Art,Museum Grounds,94,55,48,0,"Henry Moore [1898-1986] [1]; M. Knoedler & Co., Inc., New York, NY [2]; gift to Department of Fine Arts, Carnegie Institute, Pittsburgh, PA, March 1959 [3].

Notes:
[1]. The sculpture was exhibited in ""The 1958 Pittsburgh Bicentennial International Exhibition of Contemporary Painting and Sculpture"" (no. 302, illustrated in catalogue, plate 102) held at Carnegie Institute, December 1958 - February 1959.
[2]. Knoedler CA 5743; entry in Knoedler's commission book 5b, made in June 1959, lists the artist as the sculpture's owner and G. David Thompson as the buyer (GRI.) 
[3]. The sculpture was a gift of Mr. and Mrs. G. David Thompson, Pittsburgh, PA, in memory of Mr. Thompson's son David. In contracting to buy the sculpture for Carnegie Institute, Mr. Thompson dealt directly with Knoedler's (see information in note [2] above.) It appears that the sale had not yet been completed as of June 1, 1959 (see curatorial file for relevant information.)",sculpture,Person,"Moore, Henry",,English,1898-01-01,1/1/86,"Castleford (England, United Kingdom)","Much Hadham (Hertfordshire, England, United Kingdom)"
Garmisch-Partenkirchen,  1933-1934,oil on board,59.1,Gift of Mr. and Mrs. James H. Beal,3/25/59,Fine Arts,"Gallery 11, Scaife Galleries",18.25,29.5,2.5,0,"Marsden Hartley [1877-1943]; Alzira Peirce [1908-2010], Bangor, ME, ca. 1939-1940. Bertha Schaefer Gallery, New York, NY, by 1950; Mr. [1898-1987] and Mrs. [1898-1993] James H. Beal, Pittsburgh, PA, 1951 until March 1959 [1]; their gift to Department of Fine Arts, Carnegie Institute, Pittsburgh, PA, March 1959.

Notes:
[1]. Mrs. Beal purchased the painting from the Bertha Schaefer Gallery in 1951 (see ""The Beal Collection of American Art,"" Carnegie Museum of Art, 1994, p. 72.) See also ""American Paintings and Sculpture to 1945 in the Carnegie Museum of Art,"" pages 229-230.",paintings,Person,"Hartley, Marsden",,American,1877-01-01,1/1/43,,
Siegfried,1958,oil on canvas,59.21,Gift of Friends of the Museum,3/25/59,Contemporary Art,"Gallery 13, Scaife Galleries",81.375,102.938,2.75,0,"Franz Kline [1910-1962], New York, NY; Sidney Janis Gallery, New York, NY, by November 1958 [1]; purchased by Department of Fine Arts, Carnegie Institute, Pittsburgh, PA, March 1959 [2].  

Notes:
[1]. The painting was exhibited (no. 245, illustrated in catalogue, plate 139) in ""The 1958 Pittsburgh Bicentennial International Exhibition of Contemporary Painting and Sculpture"" held at Carnegie Institute, December 1958 - February 1959. It was lent by the Sidney Janis Gallery. 
[2]. The painting was purchased by Carnegie Institute from the International. It was accessioned on March 25, 1959; payment to the gallery was sent on September 14, 1959.",paintings,Person,"Kline, Franz",,American,1/1/10,1/1/62,"Wilkes-Barre, PA","New York, NY"
Lavabo,1546,bronze,59.31.3,Sarah Mellon Scaife Foundation Fund,5/28/59,Decorative Arts and Design,"Gallery 2, Scaife Galleries",0,0,0,0,"Julius Bohler, Munich, Germany",Metals,Person|Person,unknown Flemish|unknown German,possibly by|possibly by,Flemish|German,|,|,|,|
Hercules and Antaeus,1623-1635,silver and ebony,59.31.4,Sarah Mellon Scaife Foundation Fund,5/28/59,Decorative Arts and Design,"Gallery 2, Scaife Galleries",7.375,14,5.625,0,"Daniel Lang [-1635]. Duke of Cumberland [1]. Private collection, Basel, Switzerland. (Julius Böhler, Munich, Germany, by 1959); purchased by Museum, May 1959. 
NOTES:1. Exactly which creation of the Duke of Cumberland this refers to is unclear.",Metals,Person,"Lang, Daniel",,German,1623-01-01,1635-01-01,,
The Lawyer's Dream,1859,oil on canvas,59.46,"Purchase: gift of S. B. Casey, Howard Heinz Endowment Fund, and an anonymous gift",10/26/59,Fine Arts,"Gallery 3, Scaife Galleries",20.25,24.25,2,0,"George Finley, Pittsburgh, by 1859; by descent to Charles A. Finley, Pittsburgh, by 1932 until 1959?; Estate of Charles A. Finley, until 1959; purchased by Museum, October 26, 1959.",paintings,Person,"Blythe, David G.",,American,1815-01-01,1865-01-01,"East Liverpool (Columbiana county, Ohio, United States)","Pittsburgh, Pennsylvania"
Plate,  1525,tin-glazed earthenware,59.48.1,Mr. and Mrs. James F. Hillman Fund,10/26/59,Decorative Arts and Design,"Gallery 2, Scaife Galleries",9.875,2,9.875,0,"French and Company, New York City, NY",Ceramics,Person|Organization,"Pellipario, Nicolò|Castel Durante Factory",artist|manufacturer,Italian,|1495-01-01,1538-01-01|1635-01-01,|,|
Plate,  1500,tin-glazed earthenware,59.48.2,Mr. and Mrs. James F. Hillman Fund,10/26/59,Decorative Arts and Design,"Gallery 2, Scaife Galleries",8.875,1.125,8.875,0,"French and Company, New York City, NY",Ceramics,Person,unknown Italian,,Italian,,,,
Plate,  1500-1550,tin-glazed earthenware with lustre decoration,59.48.3,Mr. and Mrs. James F. Hillman Fund,10/26/59,Decorative Arts and Design,"Gallery 2, Scaife Galleries",8.375,0.75,8.375,0,"French and Company, New York City, NY",Ceramics,Organization,Deruta Potteries,possibly by,Italian,,1550-01-01,,
Plate,1518,tin-glazed earthenware with lustre decoration,59.48.4,Mr. and Mrs. James F. Hillman Fund,10/26/59,Decorative Arts and Design,"Gallery 2, Scaife Galleries",0,1.625,0,7,"French and Company, New York City, NY",Ceramics,Person,unknown Italian,,Italian,,,,
Tazza (cup),  1550,tin-glazed earthenware,59.48.5,Mr. and Mrs. James F. Hillman Fund,10/26/59,Decorative Arts and Design,"Gallery 2, Scaife Galleries",10,2,10,0,"French and Company, New York City, NY",Ceramics,Person,unknown Italian,,Italian,,,,
Dish,  1450,tin-glazed earthenware with luster glaze (Hispano-Moresque ware),59.48.6,Sarah Mellon Scaife Foundation Fund,10/26/59,Decorative Arts and Design,"Gallery 2, Scaife Galleries",18.5,2.25,18.5,0,"French and Company, New York City, NY",Ceramics,Person,unknown Spanish,,Spanish,,,,
The Broken Wagon,1844,oil on canvas,59.5.15,Bequest of Johanna K. W. Hailman,3/25/59,Fine Arts,"Gallery 3, Scaife Galleries",18.375,15,2.25,0,"Johanna K. W. Hailman [1871-1958], Pittsburgh, PA; bequest to Museum, March 1959.

Under review by CGK",paintings,Person,"Isabey, Eugène L.",,French,1803-01-01,1886-01-01," Paris (Ville de Paris department, Île-de-France, France)"," Lagny (Seine-et-Marne, Île-de-France, France)"
Harvest Hay,  1888,oil on board,59.5.25,Bequest of Johanna K. W. Hailman,3/25/59,Fine Arts,Carnegie Music Hall and Foyer,15.625,9.75,0,0,"By descent to Joanna K. W. Hailman, the artist's daughter [1871-1958], Pittsburgh; bequest to Museum, 1959.",paintings,Person,"Woodwell, Joseph R.",,American,1842-01-01,1/1/11,"Pittsburgh (Allegheny county, Pennsylvania, United States)","Pittsburgh (Allegheny county, Pennsylvania, United States)"
Pier table,  1820,"gilded pine and composition, and marble",59.5.37,Bequest of Johanna K. W. Hailman,3/25/59,Decorative Arts and Design,"Gallery 20, Bruce Galleries",36.75,37.125,22.875,0,"The Estate of Johanna K. W. Hailman
The Croghan-Schenley Family, PicNic House, Pittsburgh",Wood,Person,"unknown American, PA, Philadelphia",probably by,American,,,,
American Beauties,1896,oil on canvas,59.5.6,Bequest of Johanna K. W. Hailman,3/25/59,Fine Arts,Carnegie Music Hall and Foyer,25,20,0,0,"Purchased by J. R. Mellon; bequest to Johanna K. W. Hailman [1871-1958], Pittsburgh, until 1958 [1]; bequest to Museum, 1959. 
NOTES:1. J. R. Mellon's bequest was that the work be returned to the artist. 

(see curatorial file, Pittsburgh Post Gazette annotated photograph)",paintings,Person,"Hailman, Johanna K. W.",,American,1871-01-01,1/1/58,"Pittsburgh (Allegheny county, Pennsylvania, United States)",
"Vase, Beaker",1736-1759,porcelain with enamel and gilded decoration,59.6.1,Gift of Francis Keally,3/25/59,Decorative Arts and Design,"Gallery 19, Bruce Galleries",0,8.25,0,4,"Gift of Francis Keally, 1959.",Ceramics,Person,unknown Chinese,,Chinese,,,,
Vase,1736-1759,porcelain with enamel and gilded decoration,59.6.2,Gift of Francis Keally,3/25/59,Decorative Arts and Design,"Gallery 19, Bruce Galleries",0,8.25,0,4.25,"Gift of Francis Keally, 1959.",Ceramics,Person,unknown Chinese,,Chinese,,,,
"Salt cellar, ""Swan Service""",1738-1739,porcelain with enamel and gilded decoration,60.10.1,Purchase: gift of Sarah Mellon Scaife Foundation,2/8/60,Decorative Arts and Design,"Gallery 18, Bruce Galleries",3.5,4.5,3.438,0,"Rosenberg and Stiebel, New York, NY",Ceramics,Person|Organization,"Eberlein, Johann Friedrich|Meissen Porcelain Manufactory",modeler|manufacturer,German,1696-01-01|1710-01-01,1749-01-01|,"Dresden, Germany|Meissen (Saxony, Germany)","Meissen, France|"
Tureen,  1760,tin-glazed earthenware with metallic oxide decoration,60.10.2.A-B,Purchase: gift of Sarah Mellon Scaife Foundation,2/8/60,Decorative Arts and Design,"Gallery 19, Bruce Galleries",0,6.5,0,13,"Rosenberg and Stiebel, New York, NY",Ceramics,Organization,Niderviller Porcelain Manufactory,,French,1754-01-01,1886-01-01,,
Orchard,1907,oil on canvas,60.1,Patrons Art Fund,2/8/60,Fine Arts,"Gallery 7, Scaife Galleries",39.125,38.875,1.5,0,"Gustav Klimt [1862-1918], Vienna, Austria; Gustav Nebehay [1881-1935], Vienna, Austria [1]; Joseph Urban [1872-1933], Yonkers, NY and New York, NY, by June 1922 until July 10, 1933 [2]; private collection, New York, NY, 1959 [3]; Galerie St. Etienne, New York, NY [4]; purchased by Department of Fine Arts, Carnegie Institute, Pittsburgh, PA, February 1960.

Notes:
[1]. From Fritz Novotny and Johannes Dobai, ""Gustav Klimt,"" Verlag Galerie Weltz, Salzburg, 1967, no. 164, p. 347, illustrated.
[2]. Carl (Karl) Maria Georg Joseph (Josef) Urban, born in Vienna, Austria, was a noted stage and film designer and architect, who immigrated to the United States in 1912. See letter from Neue Galerie, New York, dated June 13, 2016, regarding Urban's ownership of the painting and its exhibition at the opening of Wiener Werkstätte of America, Inc. in June1922.
[3]. Mrs. Joseph Urban (Mary Porter Beegle Urban.) Mrs. Urban is listed as a lender to the 1959 Klimt exhibition at Galerie St. Etienne in New York City, where the painting was included and illustrated in the catalogue. Information from Jane Kallir and Hildegard Bachert of Galerie St. Etienne (specifically e-mails reporting on conversations with them, dated May-June 2003) confirms the descent of the painting in the Urban family, specifically his widow, who sold it to the gallery after the 1959 Klimt exhibition there.
[4]. Galerie St. Etienne (Otto Kallir) sent the painting to the museum on approval sometime in late 1959, likely in December 1959. The museum agreed to terms for the purchase of the painting in January 1960 and accessioned it the following month.",paintings,Person,"Klimt, Gustav",artist,Austrian,1862-01-01,1/1/18, Wien state (Austria)," Vienna (Wien state, Austria)"
Tree Forms,  1928,pastel and tempera on plywood,60.3.2,Gift of Mr. and Mrs. James H. Beal,2/8/60,Fine Arts,"Gallery 11, Scaife Galleries",29.75,25.25,2,0,"Arthur G. Dove [1880-1946], Long Island, NY; the artist's estate, November 23, 1946; The Downtown Gallery, Inc., New York, NY, 1946; Mr. [1898-1987] and Mrs. [1898-1993] James H. Beal, Pittsburgh, PA, 1947 until February 8, 1960 [1]; their gift to Department of Fine Arts, Carnegie Institute, Pittsburgh, PA, February 1960.

Notes:
[1]. The Beals purchased the painting from The Downtown Gallery in 1947 (see ""The Beal Collection of American Art,"" Carnegie Museum of Art, 1994, pages 88-89.) See also ""American Paintings and Sculpture to 1945 in the Carnegie Museum of Art,"" pages 171-172.",paintings,Person,"Dove, Arthur G.",,American,1880-01-01,1/1/46,"Canandaigua (Ontario county, New York state, United States)","Long Island, New York"
Night,1939,"bronze, skin renewed by cold chiseling",60.49,Gift of the A. W. Mellon Educational and Charitable Trust,10/19/60,Fine Arts,Museum Grounds,43.5,41.5,24,0,"Lucian Maillol, the artist's son [1896-], after 1944?; Billy Rose; G. David Thompson [1899-1965], Pittsburgh, PA; Galerie Beyeler, Basel, Switzerland, by 1960 [1]. Purchased by Museum, October 1960. 

Notes:
[1]. Ernst Beyeler may have acted as agent.

Updated and Under review by CGK.",sculpture,Person,"Maillol, Aristide",,French,1861-01-01,1/1/44,"Banyuls-sur-Mer (Pyrénées-Orientales, Languedoc-Roussillon, France)","Perpignan (Pyrénées-Orientales, Languedoc-Roussillon, France)"
Portrait of M. Usquin,1861,oil on canvas,60.8,Gift of G. David Thompson,2/8/60,Fine Arts,"Gallery 6, Scaife Galleries",18.25,22,2.5,0,"Usquin family, 1861 until 1912?. Marius de Zayas [1880-1961], New York, NY, ca. 1912? until 1920. Hillyer Art Gallery, Smith College, Northhampton, Massachusetts, 1920 until 1953; Vose Galleries, Boston, 1953; G. David Thompson [1899-1965], Pittsburgh, 1953 until 1959; gift to Museum, December 1959.

Updated and Under review by CGK.",paintings,Person,"Courbet, Jean-Desiré-Gustave",,French,1819-01-01,1877-01-01," Ornans (Doubs, Franche-Comté, France)"," La Tour-de-Peilz (Vaud, Switzerland)"
"Tray, ""Swan Service""",1739,porcelain with enamel and gilded decoration,60.9.1,Purchase: gift of Sarah Mellon Scaife Foundation,2/8/60,Decorative Arts and Design,"Gallery 18, Bruce Galleries",17,2.625,13.375,0,"Antique Porcelain Company, New York City, New York",Ceramics,Person|Organization,"Kändler, Johann J.|Meissen Porcelain Manufactory",modeler|manufacturer,German,1706-01-01|1710-01-01,1774-01-01|,"Germany|Meissen (Saxony, Germany)"," Meissen (Dresden district, Saxony, Germany)|"
"Tray, ""Swan Service""",1742,porcelain with enamel and gilded decoration,60.9.2,Purchase: gift of Sarah Mellon Scaife Foundation,2/8/60,Decorative Arts and Design,"Gallery 18, Bruce Galleries",13.438,3.5,9.563,0,"Antique Porcelain Company, New York City, New York",Ceramics,Person|Organization,"Eberlein, Johann Friedrich|Meissen Porcelain Manufactory",modeler|manufacturer,German,1696-01-01|1710-01-01,1749-01-01|,"Dresden, Germany|Meissen (Saxony, Germany)","Meissen, France|"
"Platter, ""Swan Service""",1738,porcelain with enamel and gilded decoration,60.9.3,Purchase: gift of Sarah Mellon Scaife Foundation,2/8/60,Decorative Arts and Design,"Gallery 18, Bruce Galleries",0,2.938,0,16.5,"Antique Porcelain Company, New York City, New York",Ceramics,Person|Organization,"Kändler, Johann J.|Meissen Porcelain Manufactory",modeler|manufacturer,German,1706-01-01|1710-01-01,1774-01-01|,"Germany|Meissen (Saxony, Germany)"," Meissen (Dresden district, Saxony, Germany)|"
"Bowl, ""Swan Service""",1738,porcelain with enamel and gilded decoration,60.9.4,Purchase: gift of Sarah Mellon Scaife Foundation,2/8/60,Decorative Arts and Design,"Gallery 18, Bruce Galleries",0,2.5,0,9.313,"Antique Porcelain Company, New York City, New York",Ceramics,Person|Organization,"Kändler, Johann J.|Meissen Porcelain Manufactory",modeler|manufacturer,German,1706-01-01|1710-01-01,1774-01-01|,"Germany|Meissen (Saxony, Germany)"," Meissen (Dresden district, Saxony, Germany)|"
Trees,  1912,oil on canvas,61.1,Patrons Art Fund,2/2/61,Fine Arts,"Gallery 9, Scaife Galleries",28.25,37,2.25,0,"Willem Beffie [1880-1950], Amsterdam and Brooklyn, New York, 1912 until 1943?. (Nierendorf Gallery, New York, 1943? until 1946?). Charmion von Wiegand [1896-1983], New York, 1945?; G. David Thompson [1899-1965], Pittsburgh, PA, after 1956; Galerie Beyeler, Basel, Switzerland, 1959 until 1961; purchased by Museum, February 1961.

Under review by CGK.",paintings,Person,"Mondrian, Piet",,Dutch,1872-01-01,1/1/44,"Amersfoort (Utrecht province, Netherlands)","Ney York, New York"
Bowl,  1715,stoneware,61.41.38,Gift of Mrs. Fred C. Foy,9/19/61,Decorative Arts and Design,"Gallery 2, Scaife Galleries",0,3.062,0,6,"Mrs. Fred C. Foy, Rector, PA",Ceramics,Organization,Meissen Porcelain Manufactory,,German,1710-01-01,,"Meissen (Saxony, Germany)",
